Rule ID,Rule Name,Verdict,AI Analysis
R01,Governing Law,COMPLIANT,"Verdict: COMPLIANT
Evidence: 6.9 Governing Law. This Agreement is to be construed according to the laws of the State of Illinois.
Reasoning: The contract contains a specific clause titled ""Governing Law"" which explicitly states that the agreement is to be construed according to the laws of the State of Illinois, thereby specifying the applicable state law as required by the rule."
R02,Termination,COMPLIANT,"Verdict: COMPLIANT
Evidence: ""4.2 Termination for Cause. Either party may terminate this Agreement upon 30 days prior written notice to the other upon the occurrence of any of the following events: (A) the Distributor's failure to make full and prompt payment to the Company of all sums due and owing to it; (b) either party's default in the performance of any of the material, terms, conditions, obligations, undertakings, covenants or liabilities set forth herein and such default is not cured within a commercially reasonable time after the defaulting party has been notified of the default by the other party and (c) as otherwise expressly provided herein. In the event either party (a) becomes adjudicated insolvent, (b) discontinues its business, (c) has voluntary of involuntary bankruptcy proceedings instituted against it, or (d) makes an assignment for the benefit of creditors, the other party shall be entitled to terminate this Agreement effective immediately upon written notice.""
Reasoning: The clause explicitly details several events, including failure to make payments and default in performance of material terms, which allow either party to terminate the agreement, thereby satisfying the requirement for termination for cause or breach."
R03,Confidentiality,COMPLIANT,"Verdict: COMPLIANT
Evidence: ""3.6. Non-Disclosure of Confidential Information. None of the parties hereto nor their associated or affiliated or affiliated companies shall during the term of this Agreement or thereafter disclose any confidential information obtained or acquired by them in connection with the Products and the business of the other, including, without limitation, trade secrets, business techniques, technical information, customer and potential customer lists, marketing data and information, prices, improvements to the Products in various stages of development, processes, or other confidential information relating to the Products or the business of the Distributor, except that either party shall be permitted to disclose (x) all or portions of such confidential information on a strictly need-to-know basis to the extent required by an order of a court of competent jurisdiction or by the order or demand of a regulatory body having jurisdiction over one or both parties and (y) any of such confidential information that is the sole property of the party making the disclosure and does not include any information owned by the other party. The Distributor shall not disclose this agreement except upon consent of Company. Confidential information shall not include information which:""
Reasoning: Clause 3.6 explicitly establishes a non-disclosure obligation for confidential information, directly satisfying the rule's requirement."
R04,Indemnification,COMPLIANT,"Verdict: COMPLIANT
Evidence: ""5.3 Indemnification. Company and Distributor agree to indemnify, defend and hold each other harmless from any and all suits, claims, obligations, liabilities, damages, losses and the like (including attorneys' fees and costs) relating to or arising out of: (A) any breach of any material representations, warranties, covenants, obligations, agreements or duties in connection with this Agreement; (b) any negligence or fault; (c) any violation by either of them of the patent, copyright, trademark or other intellectual property rights of third parties. In addition, Company agrees to indemnify, defend and hold harmless Distributor from and against all suits, claims, obligations, liabilities, damages, losses and the like (including attorneys' fees and costs) arising out of or related to Company's manufacture or design of the Products, provided that Distributor is not at fault in connection with the same, and Distributor agrees to indemnify, defend and hold harmless Company from and against all suits, claims, obligations, liabilities, damages, losses and the like (including a attorneys' fees and costs) arising out of or related to Distributor's sales, marketing practices or unauthorized Product alteration (provided that Company is not at fault in connection with same).""
Reasoning: The contract contains a specific clause, ""5.3 Indemnification,"" which explicitly states that both Company and Distributor agree to indemnify, defend, and hold each other harmless, thereby protecting both parties as required by the rule."
R05,Force Majeure,COMPLIANT,"Verdict: COMPLIANT
Evidence: ""The Distributor agrees that the Company shall not be liable for its failure to perform due to any occurrence beyond the Company's reasonable control, including, but not limited to, acts of God, fires,""
Reasoning: This clause directly addresses the rule by excusing the Company's performance for events beyond its reasonable control, explicitly including ""acts of God,"" which are unforeseen events. While Section 6.8 is titled ""Force Majeure"" and refers to a definition in ""Section 2.2"" (which is not explicitly labeled in the provided context), the quoted clause provides the substantive definition and excuse for performance due to acts of God."
R06,Assignment,COMPLIANT,"Verdict: COMPLIANT
Evidence: ""6.1 Assignment. No assignment of this Agreement or any right accruing hereunder shall be made by the Distributor in whole or in part, without the prior written consent of the Company, which consent shall not be unreasonably withheld. As a condition to obtaining such consent, the Assignee of Distributor's interest hereunder shall first agree in writing in form and substance satisfactory to the Company, that is shall assume and be liable for the performance of all obligations imposes by this Agreement on Distributor, whether such obligations have then accrued are owing, or are yet to be performed, and shall demonstrate that is has the economic, and with approval of the assignment, the legal capability to perform all of the obligations of Distributor hereunder. Company may assign its interest in this agreement to any person or entity which has authority to fulfill Company's obligations hereunder and which has the economic ability to perform its obligations hereunder. Upon the assignment of a party's interest and rights in this Agreement the assigning party shall be relieved of all further obligations imposed by this Agreement.""
Reasoning: The contract explicitly addresses assignment to third parties. It restricts assignment by the Distributor without prior written consent from the Company and specifies conditions for such consent. It also allows assignment by the Company to any person or entity meeting certain criteria."
R07,Intellectual Property,NON-COMPLIANT,"Verdict: NON-COMPLIANT
Evidence: No clause found that clarifies ownership of intellectual property created under the agreement. The existing clauses mention ""intellectual property rights of third parties"" and ""violation... of the patent, copyright, trademark or other intellectual property rights"" in the context of indemnification, but do not define ownership of IP between the contracting parties.
Reasoning: The contract mentions intellectual property in the context of third-party rights and indemnification for violations, but it fails to include a clause that explicitly clarifies who owns intellectual property created by the parties during the term of the agreement."
R08,Dispute Resolution,NON-COMPLIANT,"Verdict: NON-COMPLIANT
Evidence: No clause found
Reasoning: The provided contract clauses do not contain a specific section or statement regarding 'Dispute Resolution' that specifies arbitration, mediation, or litigation as the method for resolving disputes between the parties. The indemnification clause mentions ""suits"" and ""claims"" but does not define the process for resolving them."
R09,Payment Terms,COMPLIANT,"Verdict: COMPLIANT
Evidence: 2.7 Payment Terms. Distributor shall pay Company within thirty (30) days of Distributor's or, as the case may be, the end-user's receipt of Products.
Reasoning: The clause explicitly states that payment is due ""within thirty (30) days of... receipt of Products,"" which clearly specifies when payments are due, satisfying the rule."
R10,Liability Cap,NON-COMPLIANT,"Verdict: NON-COMPLIANT
Evidence: No clause found
Reasoning: The provided contract clauses discuss indemnification, product liability insurance, and the relationship between parties, which all relate to liability in a general sense. However, there is no specific clause that establishes a 'Liability Cap' by limiting liability to a specific monetary amount, as required by the rule."
